Timestamp,I have good working relationships with my co-workers.,There is good communication between me and my supervisor. ,Conflicts are resolved in a positive and constructive manner.,I feel favoritism is not a problem in my department.,My Supervisor works to improve communications in all directions and does a good job of sharing information. ,My skills and abilities match the work I do.,I look for another job outside the company. ,The management at Varks.am cares about employees․ ,Varks.am focuses on providing excellent customer service.,The pay at Varks.am is competitive to that of similar organizations.,My work arrangements allow me to balance my personal life with my work.,"Overall, I am satisfied with my work. ",My current workplace is close to where I live.,"If I get non-monetary rewards (such as insurance, training, ""best employee of the month"" reward), I will feel satisfied and will work harder.","If I get monetary bonuses when I serve more customers, I will feel satisfied and work harder.",I will recommend a friend/relative to work at Varks.am․,I will recommend a friend/relative to use Varks.am services in case of a loan need.,I foresee myself working here one year from now.,I feel stressed at work.,Things that will motivate me to stay,I enjoy coming to work. ,Reasons why I want to stay here.
2017/11/24 1:52:59 PM GMT+4,Agree,Agree ,Disagree,Disagree ,Agree,Agree,Disagree ,Agree ,Agree,Disagree,Disagree,Agree ,Yes,Agree,,10,5,Yes,,,Agree,Fair Pay;Location of the branch;Good working staff;I love communicating with customers 
2017/11/24 1:58:16 PM GMT+4,Agree,Agree ,Agree,Disagree ,Disagree ,Strongly agree,Strongly disagree ,Agree ,Disagree ,Agree,Agree,Agree ,No,,Agree ,10,8,Yes,,,Agree,Fair Pay
2017/11/24 2:01:47 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree ,Agree ,Agree,Agree,Disagree,Agree ,Yes,Agree,,7,6,Yes,,,Agree,Fair Pay;Location of the branch ;Good working staff;I love communicating with customers
2017/11/24 2:13:17 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree ,Agree ,Agree,Agree,Agree,Agree ,Yes,Strongly agree ,,10,5,Yes,,,Strongly agree,Fair Pay;Flexible working hours;Good communication with my supervisor;Promotion opportunities 
2017/11/24 2:16:00 PM GMT+4,Strongly Agree,Agree ,Strongly agree,Strongly agree ,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree ,Disagree,Agree,Agree ,Yes,Disagree,,8,5,Yes,,,Agree,Promotion opportunities 
2017/11/24 2:19:38 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Disagree  ,Strongly disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Agree ,Yes,Strongly agree ,,8,8,Yes,,,Strongly agree,Fair Pay;Flexible working hours ;Location of the branch ;Good working staff ;Good communication with my supervisor;Promotion opportunities
2017/11/24 2:28:56 PM GMT+4,Agree,Agree ,Agree,Strongly agree ,Strongly agree,Agree,Disagree ,Strongly agree,Agree,Agree,Disagree,Strongly agree,Yes,Strongly agree ,,10,7,Yes,,,Agree,Fair Pay;Location of the branch;Good working staff ;Promotion opportunities 
2017/11/24 2:47:35 PM GMT+4,Agree,Agree ,Strongly agree,Disagree ,Agree,Agree,Disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Agree ,Yes,Agree,,10,3,Yes,,,Agree,Good working staff ;Good communication with my supervisor ;Promotion opportunities
2017/11/24 3:14:24 PM GMT+4,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Agree,Disagree ,Strongly agree,Agree,Strongly agree,Agree,Agree ,No,,Agree ,7,3,Yes,,,Agree,Fair Pay;Location of the branch ;Good working staff ;Good communication with my supervisor ;Promotion opportunities 
2017/11/24 3:15:34 PM GMT+4,Agree,Agree ,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree ,No,,,1,2,No,Strongly agree,Higher salary;Better location of the branch ;Fixed working schedule ;Promotion opportunities ;Existence of reward system,,
